Name,Gender
Bhanu,1
Mehrunissa,2
Hindola,2
Taarank,1
Devya,2
Subhang,1
Gaganasindhu,2
Amanda,1
Tripurasundari,2
Tridib,1
Lekh,1
Paramesh,1
Varana,2
Shankari,2
Jui,2
Vandana,2
Aaliya,2
Hastin,1
Ranga,1
Sagar,1
Chitrasen,1
Tapasi,2
Siya,2
Faiz,1
Ori,1
Hasrat,2
Greeshma,2
Latika,2
Tarani,2
Mahabala,1
Daha,1
Prajesh,1
Thulasi,2
Champakavathi,2
Ipsa,2
Abhilash,1
Kalpa,1
Chadna,2
Vatsal,1
Omarjeet,1
Sudhamay,1
Shakambari,2
Shirish,1
Udita,2
Ihina,2
Hiral,2
Dakshina,2
Nigam,1
Mandar,1
Sevita,2
Hemlata,2
Pari,1
Isar,1
Kundan,1
Manibhushan,1
Anadi,1
Laghuvi,2
Ahsan,1
Saloni,2
Shaila,2
Cheliyan,1
Khemprakash,1
Makshi,2
Riya,2
Sabrang,1
Madhushri,2
Akshay,1
Vishwambhar,1
Suhina,2
Ajanta,2
Asita,2
Danta,1
Shabnum,2
Mithi,2
Kanan,2
Manas,1
Shukti,2
Anuttam,1
"Ananga, Anang",1
Krandasi,2
Arumugan,1
Nipun,1
Abjit,1
Abdul-Azeez,1
Shekhar,1
Shaheena,2
Nimai,1
Ganika,2
Kumud,2
"Ganga, Gangotri",2
Namuchi,2
Sinsapa,2
Eelampirai,2
Ravi,1
Utsavi,2
Mahith,1
Prateep,1
Dayakar,1
Sahil,1
Shiv,1
Prateet,1
Harshini,2
Ekaling,1
"Shatrughna, Shatrughan",1
Jatan,1
Soman,1
Sinha,1
Phoolan,2
"Rajarshi, Rajrishi",1
Sanyog,1
Bharani,2
Ziya,1
Kahini,2
Jaigopal,1
Lohita,2
Desiha,2
Bahulika,2
Tamali,2
Janya,1
Kishmish,2
Saroja,2
Sutra,2
Elilarasan,1
Samarjit,1
Madhu,2
Zarna,2
Iraiyavan,1
Radheshyam,1
Raakhi,2
Neelesh,1
Kanhaiya,1
Mukut,1
Shrilata,2
Balakrishna,1
Neeladri,1
Shwetika,2
Naval,1
Ashraf,1
Nikhilesh,1
Dhanvi,2
Noshi,2
Leela,2
Jowaki,2
Udayan,1
Yuval,1
Viresh,1
Kanan,1
Pundarik,1
Azhar,1
Nedumaran,1
Latikara,2
Aninditha,2
Lavali,2
Sudhakar,1
Swarnika,2
Gunalakshmi,2
Rajit,1
Anupama,2
Bindu,2
Prabhakar,1
Aafreen,1
Avni,2
"Sajni, Sajani",2
Surina,2
Maniram,1
Kunti,2
Shrikrishna,1
Sachika,2
Amir,1
Ekaja,2
Omesh,1
Harendra,1
Sarvadaman,1
Suvarna,2
Maari,1
Banbihari,1
Vijay,1
Ranganath,1
Tvesa,2
Meher,2
Gyandev,1
Randhir,1
Sanwariya,1
Pranavi,2
Gurveer,1
Sikata,2
Dandak,1
Malaya,2
Lajwanti,2
Jaidayal,1
Elilvendan,1
Ajinkya,1
Kavini,2
Rishi,1
Satyendra,1
Tanmaya,2
Faarooq,1
Aparijita,2
Foolmala,2
Padmalochana,2
Smarajit,1
Ihitha,2
Vilokan,1
Abdul-Jaleel,1
Taanusiya,2
Vamana,1
Farida,2
Samskara,2
Shishupal,1
Haadiya,1
Sahitha,2
Yaalmani,1
Shirshirchandra,1
Ganendra,1
Sanabhi,1
Manika,2
Sankari,2
Sanjukta,2
Chintya,1
Kapardini,2
Pivari,2
Mohal,1
Varun,1
Jayanta,1
Pratiti,2
Satyasheel,1
"Falguni, Phalguni",1
Bakula,2
Gaura,2
Imaran,1
Dinapati,1
Laavanya,1
Kandan,1
Utsa,2
Eka,1
Upala,2
Tapati,2
Sayam,1
Mahasweta,2
Bilva,1
Mandira,2
Badrinath,1
Acira,2
Shreshta,1
Tarpan,1
Vaijnath,1
Barsha,2
Pravin,1
Ayush,1
Benazir,2
Salila,2
Devabrata,1
Vidyut,1
Somalakshmi,2
Prasheila,2
Vihanga,1
Dwaraka-daas,1
Zev,1
Tripti,2
Heer,1
Shyamal,2
Uttam,1
Talat,1
Rajas,1
Maitreyi,2
Ekagrah,1
Ibraheem,1
Ekana,1
Devansh,1
Aanadi,2
Pragun,1
Tarit,1
Upama,2
Nikunja,1
Aachman,1
Gunwanti,2
Sandhaya,2
Wajidali,1
Tamarai,2
Nachiketa,1
Chandranath,1
DuraiMurugan,1
Sahana,2
Pandhari,1
Anusri,2
Sarfaraz,1
Swapnasundari,2
Ameya,1
Ishita,2
Amrapali,2
Aleem,1
Kaartikeya,1
Surekha,2
Subodh,1
Iyyappan,1
Siraj,1
Bina,2
Vaikunth,1
Vijul,2
Rashi,2
Vennela,2
Nilavoli,2
Thirumalai,1
Baha Udeen,1
Chakradhar,1
Akalmash,1
Seemanta,1
Anjana,2
Sarojini,2
Divya,2
Kamalesh,1
Vimal,1
Palanimurugan,1
Deeptimoy,1
Haimavati,2
Mahaj,1
Kulavardhini,2
Samidha,2
Ratnamala,2
Kuber,1
Baanke Bihaari,1
Qasim,1
Praval,1
Ainesh,1
Anju,2
Bhagaditya,1
Piyali,2
Teerthankar,1
Devdutta,1
Rebanta,1
Neeharika,2
Bhoomika,2
Ghanashyam,1
Garati,2
Hiranya,2
Sinchana,2
Umed,1
Namdev,1
Nuti,2
Raksha,2
Naasih,1
Sanjula,2
Nityapriya,2
Gaurika,2
Dheeran,1
Evyavan,1
Rajhans,2
Dhevaneyan,1
Pannalal,1
Janith,1
Srinivas,1
Markandeya,2
Ratnakar,1
Khalid,1
Uma,2
Tarakeshwar,1
Himadri,1
Sundar,1
Sunaya,2
Manorama,2
Nazima,2
Nagarjun,1
Shrigeeta,2
Ayati,2
Apala,2
Kapila,2
Tamal,1
"Arun, Aroon",1
Unnati,2
Shantala,2
Ashritha,2
Deepamala,2
Yahvi,2
Poojan,1
Ketana,2
Prahlad,1
Dilip,1
Orion,1
Prayag,1
Adhira,2
Ikshu,1
Farzana,2
Gnanamangala,2
Sushrut,1
Ibhanan,1
Oorjit,1
Moksha,2
Ryna,1
Kamadha,2
Shaunak,1
Aranam,2
Zahir,1
Vyomakesh,1
Abhimoda,1
Sohan,1
Nand,1
Rathin,1
Sutej,1
Hemamdar,1
Latangi,2
Umrao,1
Vasuki,2
Thiruvoli,1
Viplab,1
Varindra,1
Chaaya,2
Oindrila,2
Mansukh,1
Harini,2
Lalana,2
Basudha,1
Zeena,2
Ankitha,2
Sarbajit,1
Farhad,1
Purnendu,1
Sugreev,1
Jignesh,1
Sarang,1
Shabalini,2
Vallari,2
Rana,1
Musheer,1
Bhairav,1
Pinga,2
Kasturi,2
Juhi,2
"Falguni, Phalguni",2
Timila,2
Gaganadipika,2
Neeraja,2
Rohit,1
Utkarsha,2
Shivanne,2
Zakir,1
Chandrodaya,1
Sarama,2
Pujita,2
Deepitha,2
Hemavati,2
Daksha,2
Himani,2
Mriganka,1
Ranjana,2
Madur,1
Zerelda,2
Ranjudeep,2
Champakali,2
Gnanamalar,2
Sanobar,1
Guruttam,1
Gaurav,1
Lalima,2
Anandalakshmi,2
Wafiya,2
Bandhula,2
Shaili,2
Yasmeen,2
Omswaroop,1
Kushala,2
Jivika,2
Tamas,1
Udichi,2
Mrinalini,2
Manjari,2
Ajitesh,1
Padmaroopa,2
Rajeshri,2
Rituraj,1
Radhani,2
Chakrapani,1
Suruchi,2
Harshit,1
Hasna,2
Khemchand,1
Ina,2
Eshanya,2
Payal,2
Samit,2
Mahijith,1
Patralika,1
Devakanya,2
Kanika,2
Yoosuf,1
Viraj,1
Jyotirmoy,1
Omkareshwari,2
Sapan,1
Manindra,1
Bandhura,2
Kishorekumar,1
Rupali,2
Aparna,2
Ranjika,2
Karunamay,1
Aalia,2
Riddhiman,1
Nityasree,2
Sulochana,2
Malini,2
Grhitha,2
Shrihari,1
Ulupi,2
Jyestha,1
Maheepati,1
Suvarnaprabha,2
Elavarasi,2
Kalki,1
Yamuna,2
Lekha,2
Kaandhal,2
Maniya,2
Tarunima,2
Parikshit,1
Hoor,2
Neelmadhav,1
Natesh,1
Kadambini,2
Alamgir,1
Raka,2
Shripal,1
Bhanudas,1
Sudhamayi,2
Pran,1
Mritsa,2
Kunal,1
Aadidev,1
Pachaimani,1
Milap,1
Arushi,2
